"chronicpos"	"count"
2	2
4	1
21	27
36	1
42	1
66	2
92	1
100	6
125	1
149	1
162	1
167	1
171	1
177	1
186	1
187	1
193	1
199	1
203	4
207	1
222	2
241	2
243	1
255	1
275	1
280	1
282	1
300	2
311	1
331	1
337	2
346	1
355	1
370	2
391	1
412	1
451	1
454	1
486	1
510	1
512	1
541	1
568	1
598	1
599	2
601	2
610	1
620	1
624	1
629	1
677	1
683	2
703	1
735	1
761	2
763	1
774	1
806	2
832	1
851	2
884	1
898	1
901	1
920	1
936	1
941	1
944	1
958	1
977	1
991	1
1017	1
1027	1
1054	1
1059	1
1060	2
1063	1
1064	1
1099	1
1108	1
1111	1
1148	1
1156	1
1157	1
1174	1
1177	1
1179	2
1182	1
1190	1
1191	2
1197	2
1208	1
1213	1
1218	2
1255	1
1262	1
1267	1
1270	1
1274	1
1288	2
1327	1
1346	1
1347	1
1378	1
1385	1
1387	4
1397	1
1418	1
1421	1
1426	1
1427	1
1437	2
1450	1
1457	1
1471	1
1483	1
1487	1
1508	1
1509	1
1549	1
1555	1
1589	1
1593	1
1594	1
1606	1
1609	1
1618	1
1625	1
1627	1
1677	1
1700	1
1719	1
1729	1
1766	1
1805	1
1819	1
1820	2
1823	1
1848	1
1912	4
1914	1
1936	1
1957	2
1968	1
2001	1
2019	1
2062	1
2087	1
2089	1
2094	1
2110	1
2141	1
2146	1
2155	1
2182	1
2189	1
2197	1
2198	1
2232	1
2242	1
2246	1
2267	1
2281	1
2287	1
2289	1
2306	2
2334	1
2354	1
2378	1
2434	1
2441	1
2444	1
2445	1
2446	1
2453	1
2455	1
2470	6
2494	1
2507	1
2518	1
2528	1
2644	1
2647	1
2675	1
2695	1
2706	1
2716	1
2726	1
2730	1
2773	2
2785	1
2822	1
2832	3
2836	1
2838	2
2839	1
2845	1
2857	2
2862	1
2867	1
2879	1
2893	1
2902	1
2903	3
2910	1
2937	1
2939	1
2969	1
2971	1
3037	1
3041	1
3042	1
3049	1
3053	1
3066	1
3092	1
3093	1
3094	1
3096	1
3103	1
3104	1
3124	1
3140	1
3149	1
3153	1
3168	1
3170	2
3176	3
3177	2
3215	1
3231	1
3241	3
3264	2
3276	1
3328	1
3390	1
3397	1
3425	2
3454	1
3466	1
3481	1
3532	1
3540	1
3551	1
3562	1
3583	1
3587	1
3602	2
3604	1
3608	1
3619	1
3620	1
3629	1
3642	1
3653	1
3682	1
3712	1
3719	1
3728	2
3733	1
3737	1
3743	2
3766	1
3775	1
3779	1
3787	1
3817	1
3824	1
3828	1
3854	1
3874	2
3893	1
3896	1
3912	1
3984	1
4005	1
4012	1
4014	1
4048	1
4060	1
4073	1
4111	1
4114	1
4136	1
4145	1
4158	1
4186	1
4201	1
4202	2
4217	1
4225	1
4232	1
4269	1
4284	1
4300	1
4327	1
4331	1
4387	1
4393	1
4408	1
4414	1
4421	1
4422	1
4423	1
4435	1
4534	2
4543	1
4548	1
4551	1
4576	1
4579	4
4596	1
4618	1
4634	1
4669	1
4680	1
4683	1
4686	1
4707	1
4716	1
4735	1
4752	1
4754	1
4755	1
4784	2
4794	1
4795	2
4844	1
4846	1
4854	1
4882	1
4885	1
4886	1
4965	1
4972	1
4999	1
5002	1
5025	1
5031	1
5063	1
5079	1
5134	1
5136	1
5140	2
5144	1
5159	1
5173	1
5175	1
5180	3
5183	1
5192	1
5203	2
5211	1
5239	1
5240	1
5284	1
5287	2
5296	1
5298	1
5305	1
5310	2
5312	1
5317	1
5339	1
5365	1
5386	2
5387	1
5406	1
5428	1
5438	1
5467	1
5476	1
5479	1
5488	1
5497	1
5512	4
5515	5
5527	1
5544	1
5575	3
5606	1
5618	1
5628	1
5668	1
5672	1
5706	1
5719	1
