"deerpos"	"count"
311	1
374	1
449	1
533	1
539	1
548	1
563	1
593	5
605	1
626	1
680	1
689	1
731	1
782	1
794	1
815	1
839	1
860	1
968	1
1064	1
1145	1
1169	1
1190	1
1196	1
1265	1
1310	1
1328	1
1346	1
1385	1
1391	2
1472	1
1514	1
1541	1
1550	1
1592	7
1625	1
1730	1
1769	1
1784	1
1883	1
1916	1
1919	1
1925	2
1943	1
1967	2
2003	2
2015	1
2036	1
2084	1
2090	1
2147	1
2153	1
2171	1
2198	1
2228	1
2267	1
2432	2
2492	1
2558	1
2570	1
2657	1
2666	1
2723	1
2840	1
2855	1
2882	1
2882	1
2918	1
2939	1
3002	1
3095	9
3152	1
3158	1
3167	1
3176	1
3194	1
3242	2
3263	3
3278	1
3329	2
3344	1
3368	1
3431	1
3569	1
3602	2
3608	1
3617	1
3620	1
3674	1
3683	1
3767	1
3773	1
3776	2
3854	1
3875	1
3881	1
3896	1
3986	1
4052	1
4058	1
4157	1
4196	1
4397	1
4442	1
4544	1
4559	1
4559	1
4703	1
4751	1
4754	1
4784	1
4823	1
4883	1
4964	1
5021	1
5054	1
5171	1
5174	2
5183	4
5219	1
5222	1
5276	1
5297	1
5390	1
5600	1
5627	1
5645	1
5729	1
5822	3
5825	3
5837	1
5840	1
5885	1
5906	3
5912	1
5933	1
5978	1
6023	1
6026	1
6266	1
6311	6
6326	1
6335	1
6380	1
6476	1
6506	1
6524	1
6542	1
6572	7
6581	2
6605	1
6635	1
6659	1
6665	1
6701	1
6719	1
6722	1
6746	1
6761	1
6785	2
6809	1
6812	2
6833	1
6935	11
6989	3
7028	5
7040	1
7082	6
7085	1
7112	3
7118	1
7124	1
7163	2
7172	2
7181	1
7274	1
7283	1
7334	4
7376	1
7388	1
7424	1
7430	1
7520	1
7727	1
7748	1
7796	3
7814	1
7859	2
7868	2
7910	1
7922	1
8075	1
8174	1
8180	1
8351	1
8537	1
8594	1
8696	1
8768	1
8891	1
8963	1
8981	2
9071	1
9119	2
9194	1
9263	1
9314	11
9359	1
9437	2
9491	3
9509	3
9560	5
9575	1
9611	4
9665	1
9692	1
9710	6
9713	4
9980	1
10037	1
10076	1
10124	1
10277	1
10331	1
10340	1
10364	1
10520	1
10625	1
10754	1
10781	1
10850	1
10889	1
10907	8
10991	1
11000	2
11003	1
11027	1
11102	1
11108	1
11171	2
11201	3
11258	1
11273	1
11288	1
11330	1
11354	1
11396	1
11438	1
11462	1
11510	1
11522	1
11564	1
11579	1
11588	1
11591	1
11651	1
11687	5
11801	1
11834	1
11882	1
11900	1
11972	1
11975	3
12008	1
12044	1
12083	1
12113	2
12119	1
12152	2
12212	1
12242	1
12293	1
12356	2
12362	1
12407	1
12410	1
12488	1
12524	1
12596	5
12611	1
12650	1
12785	1
12809	1
12833	1
12956	1
13085	1
13118	1
13139	1
13187	1
13328	1
13337	1
13457	1
13516	1
13570	1
13729	3
13828	1
13888	1
13921	1
13990	1
13993	1
14041	1
14194	1
14482	1
14503	2
14617	1
14620	1
14665	1
14866	1
14980	1
15016	1
15043	1
15211	1
15352	1
15367	1
15391	1
15778	1
15781	1
15886	1
15931	1
15982	1
15982	1
16117	1
16393	1
16657	1
16741	1
16942	1
17011	1
17209	1
17278	2
17374	1
17413	1
17533	1
17536	1
17632	1
17668	1
17734	1
17737	1
17899	1
17941	1
17977	1
17998	1
18028	1
18052	1
18085	1
18103	1
18115	1
18148	1
18178	1
18199	1
18292	1
18328	1
18376	2
18400	1
18457	2
18511	1
18517	1
18568	1
18646	1
18694	1
18709	1
18745	1
18787	1
18979	1
19018	1
19063	1
19072	1
19099	1
19171	1
19348	1
19609	1
19648	1
19660	1
19684	1
19687	1
19813	1
19861	1
19870	1
19960	2
19978	1
19978	1
20011	1
20023	1
20050	1
20080	1
20104	2
20116	1
20116	2
20131	2
20233	2
20389	1
20401	2
20428	2
20434	1
20452	1
20464	1
20479	4
20482	4
20485	1
20527	1
20554	1
20566	1
20572	1
20593	4
20698	1
20758	1
20761	2
20800	1
20935	1
21034	1
21040	1
21064	1
21193	1
21193	1
21292	1
21334	1
21364	1
21364	1
21409	1
21526	1
21538	1
21596	1
21602	1
21620	1
21623	1
21626	4
21635	1
21638	1
21641	1
21647	3
21659	2
21707	2
21719	1
21767	2
21770	1
21773	1
21809	1
21851	1
21860	1
21866	1
21992	1
21998	1
21998	1
21998	4
22019	1
22019	1
22022	1
22022	1
22034	2
22103	1
22118	1
22181	1
22187	1
22241	1
22286	1
22289	1
22289	1
22295	4
22301	1
22325	1
22325	1
22328	1
22331	1
22346	1
22418	1
22481	1
22484	2
22523	1
22688	1
22802	1
22808	1
22994	1
23030	1
23063	1
23114	1
23252	1
23282	1
23300	1
23393	1
23423	1
23480	1
23480	5
23483	1
23588	1
23594	1
23600	4
23603	1
23609	1
23654	1
23756	2
23864	1
23882	1
24026	1
24053	1
24095	1
24098	1
24137	2
24164	1
24218	1
24326	1
24368	2
24371	1
24449	1
24779	1
24833	1
24863	2
24998	1
25061	1
25064	1
25169	3
25217	2
25265	1
25271	1
25280	1
25292	2
25316	1
25337	1
25396	1
25417	1
25432	1
25459	1
25480	1
25480	1
25489	1
25495	1
25501	1
25507	1
25510	1
25513	2
25516	1
25531	1
25549	1
25552	3
25570	1
25582	1
25597	1
25657	2
25666	2
25681	1
25699	1
25711	1
25714	3
25726	1
25831	1
25843	2
25849	1
25888	1
25903	1
25909	1
26110	1
26110	1
26113	1
26170	1
26182	1
26191	1
26314	1
26443	1
26532	1
26541	1
26589	1
26760	1
26895	2
26964	1
26982	1
27045	1
27087	1
27229	1
27259	1
27262	1
27274	1
27274	1
27280	1
27292	1
27301	1
27328	1
27331	1
27337	1
27439	1
27475	1
27493	1
27508	1
27508	12
27526	1
27577	1
27580	2
27583	1
27595	1
27607	1
27610	2
27622	1
27643	1
27685	1
27688	1
27706	1
27765	2
27768	3
27849	1
27879	1
27903	1
27969	1
27972	1
27978	2
27987	1
27999	1
28005	1
28005	2
28011	2
28020	3
28026	1
28026	1
28029	1
28053	2
28086	1
28095	3
28107	1
28131	1
28164	1
28170	1
28176	1
28209	1
28289	1
28304	1
28313	1
28343	1
28355	1
28358	1
28370	1
28376	1
28391	1
28556	1
28628	1
28637	1
28676	1
28703	1
28736	1
28769	1
28790	1
28817	1
28862	1
28880	1
28880	1
28889	1
28961	1
28979	1
29015	1
29024	1
29027	1
29066	1
29069	1
29084	3
29108	1
29111	1
29114	1
29252	1
29273	3
29300	1
29369	1
29375	1
29390	1
29396	1
29408	2
29420	1
29429	1
29513	2
29519	1
